split_type,feature_set,n_features,model,train_size,test_size,test_animals,accuracy,precision,recall,f1_score
animal_level,relative_coords,6,Random Forest,13640,2912,"1_track_track_1, 2_track_track_1",0.16964285714285715,0.36857680903098483,0.16964285714285715,0.2037341224519125
animal_level,relative_coords,6,SVM,13640,2912,"1_track_track_1, 2_track_track_1",0.1871565934065934,0.4700666521636467,0.1871565934065934,0.2619399434206579
animal_level,relative_coords,6,Gradient Boosting,13640,2912,"1_track_track_1, 2_track_track_1",0.19608516483516483,0.4042840585172731,0.19608516483516483,0.257187606684652
animal_level,relative_coords,6,K-Nearest Neighbors,13640,2912,"1_track_track_1, 2_track_track_1",0.22321428571428573,0.49311599772237086,0.22321428571428573,0.27693559392582656
animal_level,relative_coords,6,Neural Network,13640,2912,"1_track_track_1, 2_track_track_1",0.12225274725274725,0.3104788777986864,0.12225274725274725,0.15684262905886487
animal_level,coords_distances,10,Random Forest,13640,2912,"1_track_track_1, 2_track_track_1",0.1311813186813187,0.309709739664472,0.1311813186813187,0.1516107825776368
animal_level,coords_distances,10,SVM,13640,2912,"1_track_track_1, 2_track_track_1",0.21394230769230768,0.49186503032419854,0.21394230769230768,0.282620270125448
animal_level,coords_distances,10,Gradient Boosting,13640,2912,"1_track_track_1, 2_track_track_1",0.17101648351648352,0.364011966098892,0.17101648351648352,0.22567167416418685
animal_level,coords_distances,10,K-Nearest Neighbors,13640,2912,"1_track_track_1, 2_track_track_1",0.2438186813186813,0.5710372972789863,0.2438186813186813,0.30848765231537517
animal_level,coords_distances,10,Neural Network,13640,2912,"1_track_track_1, 2_track_track_1",0.13358516483516483,0.45722311497377677,0.13358516483516483,0.16205670339349687
animal_level,all_features,12,Random Forest,13640,2912,"1_track_track_1, 2_track_track_1",0.22355769230769232,0.4285911722321606,0.22355769230769232,0.269373768099123
animal_level,all_features,12,SVM,13640,2912,"1_track_track_1, 2_track_track_1",0.7290521978021978,0.6579843594557299,0.7290521978021978,0.6914427450135621
animal_level,all_features,12,Gradient Boosting,13640,2912,"1_track_track_1, 2_track_track_1",0.25755494505494503,0.4973376922595672,0.25755494505494503,0.3046985979684772
animal_level,all_features,12,K-Nearest Neighbors,13640,2912,"1_track_track_1, 2_track_track_1",0.6964285714285714,0.7210356322198428,0.6964285714285714,0.6970003910031102
animal_level,all_features,12,Neural Network,13640,2912,"1_track_track_1, 2_track_track_1",0.7328296703296703,0.6739491416976204,0.7328296703296703,0.7004683821037299
